County of County_Animals,Year of County_Animals,HOGS - INVENTORY,TURKEYS - INVENTORY
REDWOOD,2014,,
REDWOOD,2015,,
REDWOOD,2016,,
REDWOOD,2017,197170,552612
REDWOOD,2018,,
REDWOOD,2019,,
REDWOOD,2020,,
REDWOOD,2021,,
REDWOOD,2022,352676,350724
REDWOOD,2023,,
RENVILLE,2010,,
RENVILLE,2011,,
RENVILLE,2012,280943,79162
RENVILLE,2013,,
RENVILLE,2014,,
RENVILLE,2015,,
RENVILLE,2016,,
RENVILLE,2017,313786,272511
RENVILLE,2018,,
RENVILLE,2019,,
RENVILLE,2020,,
RENVILLE,2021,,
RENVILLE,2022,253395,198652
RENVILLE,2023,,
RICE,2010,,
RICE,2011,,
RICE,2012,62285,506109
RICE,2013,,
RICE,2014,,
RICE,2015,,
RICE,2016,,
RICE,2017,167191,387497
RICE,2018,,
RICE,2019,,
RICE,2020,,
RICE,2021,,
RICE,2022,149572,483223
RICE,2023,,
ROCK,2010,,
ROCK,2011,,
ROCK,2012,291435,102
ROCK,2013,,
ROCK,2014,,
ROCK,2015,,
ROCK,2016,,
ROCK,2017,299729,
ROCK,2018,,
ROCK,2019,,
ROCK,2020,,
ROCK,2021,,
ROCK,2022,400859,
ROCK,2023,,
ROSEAU,2010,,
ROSEAU,2011,,
ROSEAU,2012,8529,238668
ROSEAU,2013,,
ROSEAU,2014,,
ROSEAU,2015,,
ROSEAU,2016,,
ROSEAU,2017,33,253000
ROSEAU,2018,,
ROSEAU,2019,,
ROSEAU,2020,,
ROSEAU,2021,,
ROSEAU,2022,13262,
ROSEAU,2023,,
SCOTT,2010,,
SCOTT,2011,,
SCOTT,2012,15487,226
SCOTT,2013,,
SCOTT,2014,,
SCOTT,2015,,
SCOTT,2016,,
SCOTT,2017,,96
SCOTT,2018,,
SCOTT,2019,,
SCOTT,2020,,
SCOTT,2021,,
SCOTT,2022,,104
SCOTT,2023,,
SHERBURNE,2010,,
SHERBURNE,2011,,
SHERBURNE,2012,8635,74
SHERBURNE,2013,,
SHERBURNE,2014,,
SHERBURNE,2015,,
SHERBURNE,2016,,
SHERBURNE,2017,,36
SHERBURNE,2018,,
SHERBURNE,2019,,
SHERBURNE,2020,,
SHERBURNE,2021,,
SHERBURNE,2022,,67
SHERBURNE,2023,,
SIBLEY,2010,,
SIBLEY,2011,,
SIBLEY,2012,105238,69
SIBLEY,2013,,
SIBLEY,2014,,
SIBLEY,2015,,
SIBLEY,2016,,
SIBLEY,2017,106688,
SIBLEY,2018,,
SIBLEY,2019,,
SIBLEY,2020,,
SIBLEY,2021,,
SIBLEY,2022,79804,76
SIBLEY,2023,,
ST. LOUIS,2010,,
ST. LOUIS,2011,,
ST. LOUIS,2012,376,342
ST. LOUIS,2013,,
ST. LOUIS,2014,,
ST. LOUIS,2015,,
ST. LOUIS,2016,,
ST. LOUIS,2017,292,325
ST. LOUIS,2018,,
ST. LOUIS,2019,,
ST. LOUIS,2020,,
ST. LOUIS,2021,,
ST. LOUIS,2022,266,65
ST. LOUIS,2023,,
STEARNS,2010,,
STEARNS,2011,,
STEARNS,2012,109402,2437174
STEARNS,2013,,
STEARNS,2014,,
STEARNS,2015,,
STEARNS,2016,,
STEARNS,2017,84707,2734124
STEARNS,2018,,
STEARNS,2019,,
STEARNS,2020,,
STEARNS,2021,,
STEARNS,2022,65897,1796151
STEARNS,2023,,
STEELE,2010,,
STEELE,2011,,
STEELE,2012,167773,416487
STEELE,2013,,
STEELE,2014,,
STEELE,2015,,
STEELE,2016,,
STEELE,2017,141317,332296
STEELE,2018,,
STEELE,2019,,
STEELE,2020,,
STEELE,2021,,
STEELE,2022,116411,190562
STEELE,2023,,
STEVENS,2010,,
STEVENS,2011,,
STEVENS,2012,186865,
STEVENS,2013,,
STEVENS,2014,,
STEVENS,2015,,
STEVENS,2016,,
STEVENS,2017,169272,
STEVENS,2018,,
STEVENS,2019,,
STEVENS,2020,,
STEVENS,2021,,
STEVENS,2022,210165,
STEVENS,2023,,
SWIFT,2010,,
SWIFT,2011,,
SWIFT,2012,13116,1942920
SWIFT,2013,,
SWIFT,2014,,
SWIFT,2015,,
SWIFT,2016,,
SWIFT,2017,15538,1400496
SWIFT,2018,,
SWIFT,2019,,
SWIFT,2020,,
SWIFT,2021,,
SWIFT,2022,26698,1219997
SWIFT,2023,,
TODD,2010,,
TODD,2011,,
TODD,2012,13771,1991295
TODD,2013,,
TODD,2014,,
TODD,2015,,
TODD,2016,,
TODD,2017,10740,899194
TODD,2018,,
TODD,2019,,
TODD,2020,,
TODD,2021,,
TODD,2022,7175,1231838
TODD,2023,,
TRAVERSE,2010,,
TRAVERSE,2011,,
TRAVERSE,2012,16966,
TRAVERSE,2013,,
TRAVERSE,2014,,
TRAVERSE,2015,,
TRAVERSE,2016,,
TRAVERSE,2017,35141,
TRAVERSE,2018,,
TRAVERSE,2019,,
TRAVERSE,2020,,
TRAVERSE,2021,,
TRAVERSE,2022,12478,
TRAVERSE,2023,,
WABASHA,2010,,
WABASHA,2011,,
WABASHA,2012,8851,22
WABASHA,2013,,
WABASHA,2014,,
WABASHA,2015,,
WABASHA,2016,,
WABASHA,2017,11603,
WABASHA,2018,,
WABASHA,2019,,
WABASHA,2020,,
WABASHA,2021,,
WABASHA,2022,41069,25
WABASHA,2023,,
WADENA,2010,,
WADENA,2011,,
WADENA,2012,6202,52805
WADENA,2013,,
WADENA,2014,,
WADENA,2015,,
WADENA,2016,,
WADENA,2017,181,
WADENA,2018,,
WADENA,2019,,
WADENA,2020,,
WADENA,2021,,
WADENA,2022,153,
WADENA,2023,,
WASECA,2010,,
WASECA,2011,,
WASECA,2012,243998,123857
WASECA,2013,,
WASECA,2014,,
WASECA,2015,,
WASECA,2016,,
WASECA,2017,271933,422016
WASECA,2018,,
WASECA,2019,,
WASECA,2020,,
WASECA,2021,,
WASECA,2022,216305,181705
WASECA,2023,,
WASHINGTON,2010,,
WASHINGTON,2011,,
